area_id,num_businesses,retail_trade,accommodation_and_food_services,health_care_and_social_assistance,education_and_training,arts_and_recreation_services
102011028,738,35,33,62,9,20
102011029,907,42,21,43,11,29
102011030,1102,42,17,11,18,23
102011031,1666,143,68,164,22,15
102011032,2126,159,95,230,36,27
102011033,352,18,14,18,5,8
102011034,479,31,21,40,14,11
102011035,292,14,5,16,8,8
102011036,477,22,17,27,10,3
102011037,312,10,9,20,5,7
102011038,486,32,14,20,4,12
102011039,1351,66,70,167,25,21
102011040,1217,73,76,57,22,23
102011041,924,36,31,66,12,16
102011042,691,53,51,41,10,10
102011043,486,23,30,43,12,11
102021044,1035,50,32,59,15,15
102021045,290,17,9,9,,4
102021046,350,16,17,15,4,3
102021047,994,55,24,51,17,8
102021048,816,65,34,54,16,12
102021049,390,16,6,15,4,4
102021050,424,26,20,16,6,3
102021051,439,31,10,34,6,11
102021052,287,14,11,10,5,
102021053,1000,84,79,54,11,18
102021054,588,47,44,40,11,8
102021055,973,68,41,38,16,8
102021056,768,44,28,49,22,9
102021057,645,34,58,28,12,12
115011290,1880,109,57,137,34,28
115011291,4674,211,139,419,74,40
115011294,736,28,11,59,6,9
115011296,1503,61,26,134,25,9
115011553,1803,135,35,86,48,25
115011554,389,21,4,42,10,4
115011555,1347,80,52,121,28,9
115011556,1169,71,40,112,26,18
115011557,520,28,7,43,10,3
115011558,1526,93,57,129,31,5
115011559,1856,96,56,152,29,17
115021297,3683,215,86,141,51,48
115021298,816,41,14,27,16,17
115031299,325,18,12,3,3,5
115031300,2430,93,47,59,34,36
115041301,1622,76,38,28,13,23
115041302,2154,160,77,117,38,15
116011303,2319,162,91,142,15,19
116011304,867,43,29,47,9,3
116011306,978,60,38,55,11,14
116011307,2401,129,45,63,20,24
116011308,1616,106,82,84,29,18
116011560,723,28,24,32,8,3
116011561,830,48,41,32,8,7
116021309,1236,102,57,66,15,11
116021310,2116,166,90,149,31,20
116021312,1573,100,37,43,10,17
116021562,257,22,6,15,9,6
116021563,1246,79,42,54,16,17
116031313,424,24,15,19,5,3
116031314,600,34,20,10,9,3
116031315,921,42,26,33,7,9
116031316,435,36,13,17,8,4
116031317,1136,95,45,76,13,4
116031318,500,15,5,,3,3
116031319,1194,81,52,48,14,6
117011320,409,23,5,,,3
117011321,1304,50,53,40,13,18
117011322,2580,166,124,81,31,22
117011323,911,62,45,54,17,18
117011324,135,5,3,,3,
117011325,9,,,,,
117021326,3109,238,145,155,30,88
117021327,1917,117,112,152,34,73
117021328,1087,78,43,26,23,31
117031329,2260,150,197,252,43,84
117031330,3218,249,133,113,46,115
117031331,1830,114,115,174,49,63
117031332,2316,170,180,323,52,119
117031333,2874,139,224,162,40,109
117031334,3933,214,219,162,67,55
117031335,2350,124,129,123,59,90
117031336,4302,227,279,203,105,124
117031337,40285,1558,1647,1057,608,256
117031338,3597,294,219,154,31,71
118011339,2183,109,94,167,40,96
118011340,2575,173,136,145,59,111
118011341,3685,216,177,433,70,80
118011342,,,,,,
118011343,5016,271,164,540,61,93
118011344,1545,80,45,134,28,31
118011345,2463,189,97,183,42,100
118011346,1950,104,64,170,30,44
118011347,1384,88,34,152,22,36
118021348,2567,111,97,244,64,91
118021350,1800,67,77,101,31,31
118021564,975,49,57,104,25,29
118021565,1170,78,89,124,22,25
118021566,1165,53,27,130,11,19
118021567,945,52,42,79,15,26
118021568,882,41,64,69,18,14
118021569,1638,64,49,143,32,38
118021570,1402,72,86,269,31,32
119011354,1472,108,75,68,18,11
119011355,465,58,10,4,3,
119011356,2202,174,52,51,17,9
119011357,2495,183,77,122,20,9
119011358,1495,95,45,66,20,14
119011359,1674,82,57,91,18,25
119011360,1051,75,30,68,14,14
119011361,1419,115,40,63,19,5
119011571,1819,118,57,167,30,4
119011572,1991,159,76,103,21,10
119021362,1756,126,74,63,14,22
119021363,3094,229,131,170,29,13
119021364,2677,152,90,117,33,36
119021366,2171,140,63,73,16,7
119021367,1167,86,45,28,10,13
119021573,1742,99,49,82,22,3
119021574,910,53,11,32,7,
119031368,2992,264,170,201,39,13
119031369,1719,101,87,123,21,11
119031370,1049,75,62,65,15,10
119031371,1139,72,34,88,21,14
119031372,2180,118,49,74,21,20
119031373,640,45,48,37,14,3
119031374,2626,128,98,208,25,20
119041375,1806,119,78,68,23,16
119041376,2132,131,66,107,23,19
119041377,1211,84,67,84,17,17
119041378,1460,80,67,233,15,15
119041379,1517,71,60,75,25,21
119041380,1363,74,64,73,22,13
119041381,2093,177,108,84,21,22
119041382,1642,99,93,91,28,26
120011383,2597,131,113,226,49,29
120011384,2809,159,196,178,40,25
120011385,2357,149,104,217,31,36
120011386,2635,166,106,225,41,36
120021387,2372,99,103,232,37,80
120021388,3345,218,169,300,59,144
120021389,1803,99,73,131,42,50
120031390,1947,135,118,134,41,21
120031391,3477,261,188,309,63,23
120031392,869,37,34,48,11,22
120031393,1560,99,76,70,16,10
120031394,1149,74,51,76,24,28
120031395,1340,70,76,136,23,36
120031396,2127,186,105,85,19,12
120031575,3558,177,152,525,52,8
120031576,574,34,21,21,8,5
121011398,5358,280,250,495,87,48
121011399,1851,81,41,146,34,31
121011400,3823,176,108,448,66,76
121011401,3127,120,104,236,58,38
121011402,3338,151,112,246,56,54
121021403,1510,74,32,64,33,20
121021404,888,45,22,38,17,23
121021406,1604,84,31,93,26,12
121021577,1599,120,65,140,44,8
121021578,778,39,38,44,24,9
121021579,697,40,24,43,9,9
121031407,2819,147,96,339,42,21
121031408,2797,147,108,313,45,33
121031409,2271,85,47,247,50,32
121031410,2386,149,55,212,71,31
121031411,2026,105,48,183,51,36
121031412,2148,83,60,284,35,22
121041413,2276,66,69,195,44,50
121041414,2958,136,139,240,58,57
121041415,4227,180,133,382,78,82
121041416,2872,144,123,199,58,61
121041417,6928,202,213,259,95,76
122011418,2617,118,106,170,44,53
122011419,3000,156,147,195,61,58
122021420,1920,95,54,86,29,39
122021421,1529,63,36,42,27,33
122021422,1874,104,55,94,46,34
122021423,3779,213,120,203,52,54
122031424,1153,63,36,46,16,16
