"pod_id","name","num_cars","latitude","longitude","description"
503,"Lavender Bay - Waiwera Street",1,-33.843322,151.205973,"in a dedicated bay on Waiwera Street near the corner of Lavender Street. This dedicated parking space has been provided by North Sydney City Council for the benefit of local residents and businesses."
491,"Enmore - London Street",1,-33.896722,151.171199,"On London Street near the corner of Augustus Street."
374,"Redfern - Bourke Street near Cleveland Street",1,-33.891971,151.214386,"in a dedicated bay on Bourke Sreet, just south of Cleveland Street. Thanks to City of Sydney for this great location."
301,"Redfern - Walker Street",1,-33.891893,151.208739,"in a dedicated bay on Walker Street, near the corner of Cooper St. Thanks to City of Sydney for this great location."
349,"Kings Cross- Kellett Street",1,-33.87439,151.2237,"in a dedicated parking bay - generously provided by the City of Sydney - on Kellett Street  2 mins walk up from Bayswater Road. If the dedicated bay is taken, please ensure you only park in the parking area on the permit in the windscreen. Any fines will be passed on to the responsible member. Thanks to City of Sydney for this great location!"
375,"Redfern - Bourke Street near Cleveland Street",1,-33.891971,151.214386,"in a dedicated bay on Bourke Sreet, just south of Cleveland Street. Thanks to City of Sydney for this great location."
294,"Newtown South - Darley Street",1,-33.90586,151.180807,"on Darley Street, near the corner of King Street. Note this car does not have a permit or a dedicated park, you must ensure you do not park in a parking restricted zone. Any fines will be passed on to the responsible member."
378,"Paddington - Greens Road",1,-33.883624,151.220788,"in a dedicated bay on Greens Road just off Oxford Street. Thanks to Woollahra Municipal Council for this great location."
267,"Marrickville - Addison Road",1,-33.901522,151.161683,"on Addison Road on the corner of East Street, near the Addison Road Centre. Please note this car does not have a parking permit so you are required to park in unrestricted spaces. Any fines will be passed on to the responsible member."
196,"Zetland - Gadigal Avenue",2,-33.906771,151.208358,"a dedicated bay outside the shops on Gadigal Avenue, near the corner of Joynton Avenue."
372,"Elizabeth Bay - Ithaca Road",1,-33.87201,151.228669,"in a dedicated bay on Ithaca Road just before Elizabeth Bay Road. Thanks to City of Sydney for this great location."
298,"Redfern - Chalmers Street",1,-33.893865,151.205209,"in a dedicated bay on Chalmers Street, near the corner of Turner Street. Thanks to City of Sydney for this great location"
88,"St Leonards - Herbert Street",2,-33.8221,151.1936,"This pod located on Herbert St, about 100m up from the Pacific Highway. Dedicated parking bay provided byWilloughby City Council for the benefit of local residents and businesses."
303,"McMahons Point - Blues Point Reserve",1,-33.84864,151.203749,"in a dedicated bay on Blues Point Road, corner of Henry Lawson Ave adjacent to the Blues Point Reserve. If another car is illegally parked in the bay you must park it legallyin the same zone as the parking pass on the car. All fines will be passed on to members.  This parking space has been provided by North Sydney City Council for the benefit of local residents and businesses."
228,"Glebe - Arundel Street",1,-33.884311,151.186219,"in a didicated parking bay outside 63 Arundel St close to the footbridge to Sydney uni."
387,"Summer Hill - Sloan Street",1,-33.888462,151.140887,"on Sloane Street.  Please park in an unrestricted bay on Sloane St near Kensington Road. Please Note: this car does not yet have a dedicated bay."
155,"Haymarket - Quay Street",1,-33.882249,151.203678,"on Quay Street, just north of Bijou Lane. This car is located in a dedicated parking spot generously provided by the City of Sydney"
350,"Potts Point - Tusculum Street",1,-33.871203,151.223982,"east side of Tusculum Street on the corner of Hughes Street, in a dedicated parking bay - generously provided by the City of Sydney. If the dedicated bay is taken, please ensure you only park in the parking area 26. Any fines will be passed on to the responsible member."
279,"Potts Point - Ward Avenue near Kellett Place",1,-33.874438,151.224859,"in a dedicated bay on Ward Avenue, near the corner of Kellett Place. Thanks to City of Sydney for this great location.  PLEASE REMEMBER TO PARK IN 'RESIDENTIAL PARKING PERMIT EXCEPTED' ZONE 26 ONLY. Any fines will be passed on to the responsible member."
