area_id,area_name,land_area,population,number_of_dwellings,number_of_businesses
102011028,Avoca Beach - Copacabana,643.8,7590,2325,738
102011029,Box Head - MacMasters Beach,3208.6,10986,3847,907
102011030,Calga - Kulnura,76795.1,4841,1575,1102
102011031,Erina - Green Point,3379.3,14237,4450,1666
102011032,Gosford - Springfield,1691.2,19385,6373,2126
102011033,Kariong,830.6,6540,1824,352
102011034,Kincumber - Picketts Valley,1208.9,7428,1946,479
102011035,Narara,770.2,6853,2006,292
102011036,Niagara Park - Lisarow,1673.2,8173,2345,477
102011037,Point Clare - Koolewong,678.7,6281,2220,312
102011038,Saratoga - Davistown,476.8,7177,2366,486
102011039,Terrigal - North Avoca,1010.7,14048,4457,1351
102011040,Umina - Booker Bay - Patonga,2522.8,24251,7540,1217
102011041,Wamberal - Forresters Beach,1372.2,10308,2947,924
102011042,Woy Woy - Blackwall,1742.3,14327,4304,691
102011043,Wyoming,838.1,11659,3269,486
102021044,Bateau Bay - Killarney Vale,1086,22465,6941,1035
102021045,Blue Haven - San Remo,2098,11366,3624,290
102021046,Budgewoi - Buff Point - Halekulani,935.3,9639,3648,350
102021047,Chittaway Bay - Tumbi Umbi,2449.9,15697,4947,994
102021048,Gorokan - Kanwal - Charmhaven,1124.9,22567,7562,816
102021049,Jilliby - Yarramalong,34676.6,3520,973,390
102021050,Lake Munmorah - Mannering Park,3549.5,11093,4252,424
102021051,Ourimbah - Fountaindale,11411.7,4996,1317,439
102021052,Summerland Point - Gwandalan,917.9,5904,2143,287
102021053,The Entrance,1385.8,15416,4428,1000
102021054,Toukley - Norah Head,1052.2,10092,3208,588
102021055,Tuggerah - Kangy Angy,2784.6,5480,1420,973
102021056,Warnervale - Wadalba,4289,16365,4387,768
102021057,Wyong,1503.3,9114,2805,645
115011290,Baulkham Hills (East),830.8,24370,6258,1880
115011291,Baulkham Hills (West) - Bella Vista,1096.3,21416,5244,4674
115011294,Glenhaven,723.1,6467,1687,736
115011296,West Pennant Hills,782.9,13244,3543,1503
115011553,Castle Hill - Central,415.1,7992,2236,1803
115011554,Castle Hill - East,207.2,5685,1489,389
115011555,Castle Hill - North,681.5,12409,3296,1347
115011556,Castle Hill - South,412.8,9970,2774,1169
