area_id,num_businesses,retail_trade,accommodation_and_food_services,health_care_and_social_assistance,education_and_training,arts_and_recreation_services,retail_trade_z,accommodation_and_food_services_z,health_care_and_social_assistance_z,education_and_training_z,arts_and_recreation_services_z
102011028,738,35,33,62,9,20,-0.598852318,0.085877142,0.847793921,-0.394416545,1.4605359
102011029,907,42,21,43,11,29,-0.66403395,-0.292180266,-0.370526257,-0.404917079,1.975785264
102011030,1102,42,17,11,18,23,-1.141345653,-0.427656134,-1.616320212,0.252039005,0.801931869
102011031,1666,143,68,164,22,15,1.6385211,0.017512513,1.328059276,-0.236636255,-0.452820231
102011032,2126,159,95,230,36,27,0.995075173,0.085340745,1.652429667,0.345640927,-0.062010926
102011033,352,18,14,18,5,8,-0.38268747,-0.000785273,-0.246459334,-0.080557976,0.998179939
102011034,479,31,21,40,14,11,0.408472614,0.070551051,0.831033415,2.265936445,1.023262909
102011035,292,14,5,16,8,8,-0.568577198,-0.397905722,-0.124694654,1.980056221,1.491936498
102011036,477,22,17,27,10,3,-0.674805331,-0.0732561,-0.064472218,0.97528013,-0.739801746
102011037,312,10,9,20,5,7,-1.494421971,-0.192364659,0.185131024,0.203885025,0.967372905
102011038,486,32,14,20,4,12,0.474032255,-0.193058445,-0.5787881,-1.013671483,1.205842163
102011039,1351,66,70,167,25,21,-0.515714188,0.210329255,2.165954848,0.591114903,0.238698778
102011040,1217,73,76,57,22,23,0.132675287,0.396799412,-0.389584296,0.524330983,0.593410456
102011041,924,36,31,66,12,16,-1.091918313,-0.109894295,0.42898304,-0.270728439,0.426049322
102011042,691,53,51,41,10,10,1.10645781,0.595933224,0.026415476,-0.038817715,0.125328859
102011043,486,23,30,43,12,11,-0.604699101,0.384171035,0.996465818,1.55741231,0.988291261
102021044,1035,50,32,59,15,15,-0.547375212,-0.156040467,-0.051122704,-0.035541779,0.127546391
102021045,290,17,9,9,0,4,0.053285696,-0.153995933,-0.915566524,-2.299213379,0.053572562
102021046,350,16,17,15,4,3,-0.698531606,0.153485396,-0.522039822,-0.514146632,-0.498513755
102021047,994,55,24,51,17,8,-0.138285856,-0.274793907,-0.24075137,0.372101296,-0.553825086
102021048,816,65,34,54,16,12,1.27867419,0.032421821,0.254162661,0.763401138,0.150080436
102021049,390,16,6,15,4,4,-0.97165216,-0.428390463,-0.668351032,-0.697230401,-0.320361083
102021050,424,26,20,16,6,3,0.210568518,0.128910357,-0.692506184,-0.08893026,-0.656680883
102021051,439,31,10,34,6,11,0.751974174,-0.298741405,0.629369406,-0.164452463,1.244495853
102021052,287,14,11,10,5,0,-0.519920755,-0.026124484,-0.788790137,0.421924955,-1.404768652
102021053,1000,84,79,54,11,18,1.531668421,0.68700005,-0.151140906,-0.581086635,0.498366632
102021054,588,47,44,40,11,8,1.294699761,0.613884807,0.315766033,0.62277088,0.033731185
102021055,973,68,41,38,16,8,0.709562043,0.040680933,-0.648614807,0.269227984,-0.535459398
102021056,768,44,28,49,22,9,-0.024131878,-0.058897687,0.175129281,2.175075018,-0.165748285
102021057,645,34,58,28,12,12,-0.290835662,0.878507676,-0.503609146,0.606709233,0.562296241
115011290,1880,109,57,137,34,28,0.015890203,-0.166538128,0.477040047,0.525559798,0.169929573
115011291,4674,211,139,419,74,40,-0.731789687,-0.176710402,1.035326243,0.173680756,-0.499935635
115011294,736,28,11,59,6,9,-1.145367594,-0.436086957,0.719716932,-1.025898104,-0.111877834
115011296,1503,61,26,134,25,9,-0.997291284,-0.394829528,1.019022175,0.298812908,-0.771656448
115011553,1803,135,35,86,48,25,1.00013566,-0.357775343,-0.360898677,1.859011989,0.061256556
115011554,389,21,4,42,10,4,-0.216774857,-0.51784277,1.645265493,1.716039587,-0.317573403
115011555,1347,80,52,121,28,9,0.098171392,-0.021271609,1.041464356,0.947567267,-0.698333877
115011556,1169,71,40,112,26,18,0.176486547,-0.098190854,1.240484584,1.174718914,0.223234157
115011557,520,28,7,43,10,3,-0.224838144,-0.462108435,0.803905515,0.704504705,-0.794789394
115011558,1526,93,57,129,31,5,0.188601227,-0.043218977,0.86523206,0.873783706,-1.058340939
115011559,1856,96,56,152,29,17,-0.34844874,-0.169110886,0.777418141,0.141307564,-0.43633894
115021297,3683,215,86,141,51,48,0.039051011,-0.28872134,-0.674260288,-0.136340623,-0.02680845
115021298,816,41,14,27,16,17,-0.434605022,-0.397317038,-0.847205727,0.763401138,0.797934223
115031299,325,18,12,3,3,5,-0.135220462,-0.050749177,-1.641320575,-0.857428699,0.221842702
115031300,2430,93,47,59,34,36,-1.132078875,-0.35901192,-1.140400366,-0.113792156,0.161597837
115041301,1622,76,38,28,13,23,-0.632040558,-0.287365357,-1.373973372,-1.047355534,0.09448164
115041302,2154,160,77,117,38,15,0.965487705,-0.071361909,-0.140571042,0.456286591,-0.668489139
116011303,2319,162,91,142,15,19,0.70785817,-0.010107316,0.089624947,-1.288907167,-0.538505167
116011304,867,43,29,47,9,3,-0.472397946,-0.111667091,-0.144153575,-0.677829223,-1.038921807
116011306,978,60,38,55,11,14,0.21225423,-0.016879509,-0.076673287,-0.542437567,0.10874498
116011307,2401,129,45,63,20,24,-0.231743297,-0.369520935,-1.075185772,-0.998144322,-0.347911629
116011308,1616,106,82,84,29,18,0.459494897,0.191552843,-0.218371631,0.50376117,-0.227085927
116011560,723,28,24,32,8,3,-1.105520896,-0.116114474,-0.475343679,-0.570932988,-0.966056046
116011561,830,48,41,32,8,7,0.007304044,0.167970776,-0.665266157,-0.7937354,-0.513072066
116021309,1236,102,57,66,15,11,1.445705052,0.110442371,-0.171177018,-0.403663132,-0.4638082
116021310,2116,166,90,149,31,20,1.208367127,0.047612967,0.395274763,-0.010936653,-0.405432754
116021312,1573,100,37,43,10,17,0.341752985,-0.28571607,-1.038663494,-1.306248723,-0.262107784
116021562,257,22,6,15,9,6,1.625052137,-0.288795435,-0.005823132,3.170592316,1.0636299
116021563,1246,79,42,54,16,17,0.331855963,-0.107122595,-0.506011347,-0.293520405,0.037771915
116031313,424,24,15,19,5,3,-0.064202677,-0.077850792,-0.456993447,-0.45731078,-0.656680883
116031314,600,34,20,10,9,3,-0.060539061,-0.113689391,-1.393810779,0.043686727,-0.876119962
116031315,921,42,26,33,7,9,-0.705037124,-0.203164661,-0.755923295,-1.112076156,-0.37157903
116031316,435,36,13,17,8,4,1.459356222,-0.174149203,-0.647749741,0.573307823,-0.432541176
116031317,1136,95,45,76,13,4,1.509926666,-0.003591506,0.278292798,-0.51178959,-1.032480842
116031318,500,15,5,0,3,3,-1.613912214,-0.522800785,-1.948574115,-1.362053337,-0.770390224
116031319,1194,81,52,48,14,6,0.590277455,0.065462044,-0.610451495,-0.467800678,-0.873463436
117011320,409,23,5,0,0,3,-0.085700668,-0.483790163,-1.948574115,-2.299213379,-0.629244901
117011321,1304,50,53,40,13,18,-1.127887485,0.014494064,-0.9275373,-0.742071182,0.054690922
117011322,2580,166,124,81,31,22,0.386507282,0.144553681,-0.903554807,-0.422471692,-0.503197243
117011323,911,62,45,54,17,18,0.602969532,0.167947588,0.024459046,0.615481227,0.68429313
117011324,135,5,3,0,3,0,-1.203994298,-0.308504341,-1.948574115,1.171749741,-1.404768652
117011325,9,0,0,0,0,0,-3.36145701,-0.698134239,-1.948574115,-2.299213379,-1.404768652
117021326,3109,238,145,155,30,88,1.097808151,0.119599787,-0.289101929,-0.792040587,1.58790325
117021327,1917,117,112,152,34,73,0.193798445,0.326244837,0.69067556,0.471038876,2.621455069
117021328,1087,78,43,26,23,31,0.818502945,-0.004542838,-1.152409622,1.005705507,1.610522864
117031329,2260,150,197,252,43,84,0.50479254,0.830214898,1.762939887,0.672606814,2.52500922
117031330,3218,249,133,113,46,115,1.145883516,0.026519254,-0.779743966,-0.066493162,2.373640257
117031331,1830,114,115,174,49,63,0.267324535,0.403688015,1.216305246,1.883012675,2.235107574
117031332,2316,170,180,323,52,119,0.914343442,0.664561002,2.693616497,1.20771827,4.027804241
117031333,2874,139,224,162,40,109,-0.544144012,0.668417388,-0.072339032,-0.125332511,2.60516226
117031334,3933,214,219,162,67,55,-0.191912248,0.278169511,-0.577534291,0.361593589,0.073780951
117031335,2350,124,129,123,59,90,-0.287761198,0.26433451,-0.20638117,1.622236444,2.644455356
