area_id,num_businesses,retail_trade,accommodation_and_food_services,health_care_and_social_assistance,education_and_training,arts_and_recreation_services
102011028,738.0,35.0,33.0,62.0,9.0,20.0
102011029,907.0,42.0,21.0,43.0,11.0,29.0
102011030,1102.0,42.0,17.0,11.0,18.0,23.0
102011031,1666.0,143.0,68.0,164.0,22.0,15.0
102011032,2126.0,159.0,95.0,230.0,36.0,27.0
102011033,352.0,18.0,14.0,18.0,5.0,8.0
102011034,479.0,31.0,21.0,40.0,14.0,11.0
102011035,292.0,14.0,5.0,16.0,8.0,8.0
102011036,477.0,22.0,17.0,27.0,10.0,3.0
102011037,312.0,10.0,9.0,20.0,5.0,7.0
102011038,486.0,32.0,14.0,20.0,4.0,12.0
102011039,1351.0,66.0,70.0,167.0,25.0,21.0
102011040,1217.0,73.0,76.0,57.0,22.0,23.0
102011041,924.0,36.0,31.0,66.0,12.0,16.0
102011042,691.0,53.0,51.0,41.0,10.0,10.0
102011043,486.0,23.0,30.0,43.0,12.0,11.0
102021044,1035.0,50.0,32.0,59.0,15.0,15.0
102021045,290.0,17.0,9.0,9.0,0.0,4.0
102021046,350.0,16.0,17.0,15.0,4.0,3.0
102021047,994.0,55.0,24.0,51.0,17.0,8.0
102021048,816.0,65.0,34.0,54.0,16.0,12.0
102021049,390.0,16.0,6.0,15.0,4.0,4.0
102021050,424.0,26.0,20.0,16.0,6.0,3.0
102021051,439.0,31.0,10.0,34.0,6.0,11.0
102021052,287.0,14.0,11.0,10.0,5.0,0.0
102021053,1000.0,84.0,79.0,54.0,11.0,18.0
102021054,588.0,47.0,44.0,40.0,11.0,8.0
102021055,973.0,68.0,41.0,38.0,16.0,8.0
102021056,768.0,44.0,28.0,49.0,22.0,9.0
102021057,645.0,34.0,58.0,28.0,12.0,12.0
115011290,1880.0,109.0,57.0,137.0,34.0,28.0
115011291,4674.0,211.0,139.0,419.0,74.0,40.0
115011294,736.0,28.0,11.0,59.0,6.0,9.0
115011296,1503.0,61.0,26.0,134.0,25.0,9.0
115011553,1803.0,135.0,35.0,86.0,48.0,25.0
115011554,389.0,21.0,4.0,42.0,10.0,4.0
115011555,1347.0,80.0,52.0,121.0,28.0,9.0
115011556,1169.0,71.0,40.0,112.0,26.0,18.0
115011557,520.0,28.0,7.0,43.0,10.0,3.0
115011558,1526.0,93.0,57.0,129.0,31.0,5.0
115011559,1856.0,96.0,56.0,152.0,29.0,17.0
115021297,3683.0,215.0,86.0,141.0,51.0,48.0
115021298,816.0,41.0,14.0,27.0,16.0,17.0
115031299,325.0,18.0,12.0,3.0,3.0,5.0
115031300,2430.0,93.0,47.0,59.0,34.0,36.0
115041301,1622.0,76.0,38.0,28.0,13.0,23.0
115041302,2154.0,160.0,77.0,117.0,38.0,15.0
116011303,2319.0,162.0,91.0,142.0,15.0,19.0
116011304,867.0,43.0,29.0,47.0,9.0,3.0
116011306,978.0,60.0,38.0,55.0,11.0,14.0
116011307,2401.0,129.0,45.0,63.0,20.0,24.0
116011308,1616.0,106.0,82.0,84.0,29.0,18.0
116011560,723.0,28.0,24.0,32.0,8.0,3.0
116011561,830.0,48.0,41.0,32.0,8.0,7.0
