area_id,median_annual_household_income,avg_monthly_rent
102011028,46996.0,1906.0
102011029,42621.0,1682.0
102011030,42105.0,1182.0
102011031,43481.0,1595.0
102011032,45972.0,1382.0
102011033,47896.0,1649.0
102011034,41642.0,1397.0
102011035,46660.0,1512.0
102011036,45762.0,1495.0
102011037,45966.0,1572.0
102011038,43171.0,1667.0
102011039,46422.0,2022.0
102011040,40252.0,1517.0
102011041,47295.0,1902.0
102011042,42481.0,1387.0
102011043,43438.0,1466.0
102021044,42469.0,1423.0
102021045,42641.0,1526.0
102021046,41702.0,1347.0
102021047,45015.0,1593.0
102021048,41051.0,1330.0
102021049,44122.0,1364.0
102021050,41152.0,1363.0
102021051,48214.0,1469.0
102021052,42683.0,1455.0
102021053,44137.0,1404.0
102021054,39615.0,1296.0
102021055,44360.0,1699.0
102021056,47983.0,1823.0
102021057,41055.0,1276.0
115011290,52019.0,2166.0
115011291,53703.0,2521.0
115011294,50112.0,2661.0
115011296,53907.0,2605.0
115011553,50992.0,2360.0
115011554,48100.0,2088.0
115011555,52307.0,2519.0
115011556,52563.0,2387.0
115011557,58568.0,2828.0
115011558,50744.0,2756.0
115011559,55461.0,2681.0
115021297,48550.0,1972.0
115021298,45128.0,1897.0
115031299,40176.0,906.0
115031300,49194.0,1619.0
115041301,50076.0,1793.0
115041302,56607.0,2605.0
116011303,45814.0,1587.0
116011304,45946.0,1493.0
116011306,49909.0,1371.0
116011307,49783.0,1435.0
116011308,48147.0,1587.0
116011560,45529.0,1567.0
116011561,46244.0,1680.0
116021309,54647.0,2411.0
116021310,60354.0,2462.0
116021312,49900.0,1891.0
116021562,57409.0,2245.0
116021563,53386.0,1895.0
116031313,42863.0,1123.0
116031314,50279.0,1713.0
116031315,49534.0,1750.0
116031316,46525.0,1253.0
116031317,42774.0,1383.0
116031318,53113.0,0.0
116031319,49012.0,1688.0
117011320,49680.0,0.0
117011321,56444.0,2133.0
117011322,47831.0,2160.0
117011323,47465.0,1705.0
117011324,0.0,0.0
117011325,0.0,0.0
117021326,51843.0,2001.0
117021327,58029.0,2173.0
117021328,55708.0,2452.0
117031329,59293.0,2491.0
117031330,69680.0,2581.0
117031331,56691.0,2162.0
117031332,58210.0,2270.0
117031333,58253.0,2256.0
117031334,47393.0,2575.0
117031335,51347.0,2193.0
117031336,58396.0,2342.0
117031337,27311.0,2998.0
117031338,57055.0,2302.0
118011339,60000.0,2699.0
118011340,59384.0,2783.0
118011341,56457.0,2630.0
118011342,0.0,0.0
118011343,72578.0,2883.0
118011344,61041.0,2677.0
118011345,71227.0,2627.0
118011346,68973.0,2890.0
118011347,70707.0,2879.0
118021348,65825.0,2453.0
118021350,52678.0,1846.0
118021564,50113.0,2315.0
118021565,45863.0,2312.0
118021566,57188.0,2564.0
118021567,52086.0,1817.0
118021568,50049.0,2547.0
118021569,63216.0,2465.0
118021570,58849.0,2459.0
119011354,42000.0,1386.0
119011355,41625.0,2280.0
119011356,40953.0,1877.0
119011357,38037.0,1525.0
119011358,47300.0,1668.0
119011359,50481.0,1712.0
119011360,47488.0,1679.0
119011361,40040.0,1545.0
119011571,38068.0,1621.0
119011572,38469.0,1573.0
119021362,41731.0,1609.0
119021363,37977.0,1750.0
119021364,48560.0,2074.0
119021366,36909.0,1581.0
119021367,42765.0,1750.0
119021573,33672.0,1563.0
119021574,35072.0,1554.0
119031368,38371.0,2023.0
119031369,48513.0,1827.0
119031370,41759.0,1620.0
119031371,50641.0,2081.0
119031372,47417.0,1743.0
119031373,40157.0,1259.0
119031374,44799.0,2046.0
119041375,45664.0,2255.0
119041376,44388.0,1937.0
119041377,45274.0,1915.0
119041378,47168.0,1996.0
119041379,46083.0,1968.0
119041380,49203.0,1960.0
119041381,42272.0,2024.0
119041382,50608.0,2009.0
120011383,54465.0,2439.0
120011384,49761.0,2473.0
120011385,64309.0,2467.0
120011386,60675.0,2299.0
120021387,75494.0,2478.0
120021388,65700.0,2359.0
120021389,72101.0,2570.0
120031390,44851.0,1936.0
120031391,40592.0,2163.0
120031392,51520.0,1991.0
120031393,47788.0,1855.0
120031394,56326.0,2020.0
120031395,55995.0,2040.0
120031396,44552.0,1988.0
120031575,43081.0,2185.0
120031576,50332.0,2035.0
121011398,51040.0,2542.0
121011399,56793.0,2333.0
121011400,66402.0,2455.0
121011401,73803.0,2626.0
121011402,64660.0,2780.0
121021403,52106.0,2263.0
121021404,50973.0,2231.0
121021406,53829.0,2040.0
121021577,48707.0,1958.0
121021578,49963.0,1843.0
121021579,52084.0,2136.0
121031407,54843.0,2810.0
121031408,60723.0,2724.0
121031409,60263.0,2849.0
121031410,54318.0,3045.0
121031411,54672.0,2643.0
121031412,59998.0,2736.0
121041413,71016.0,2610.0
121041414,69923.0,2522.0
121041415,71177.0,2629.0
121041416,69417.0,2416.0
121041417,71668.0,2749.0
122011418,63192.0,2777.0
122011419,61658.0,2823.0
122021420,47971.0,2774.0
122021421,49645.0,2560.0
122021422,51543.0,2635.0
122021423,50548.0,2668.0
122031424,46442.0,2081.0
122031425,48709.0,2600.0
122031426,51076.0,2257.0
122031427,51711.0,2584.0
122031428,50761.0,3121.0
122031429,58561.0,2462.0
122031430,53046.0,2237.0
122031431,52322.0,2376.0
122031432,53481.0,2573.0
123011433,52309.0,1608.0
123011434,54903.0,1907.0
123011435,55784.0,1927.0
123021436,46534.0,1318.0
123021437,47794.0,1538.0
123021438,48683.0,1373.0
123021439,0.0,0.0
123021440,48035.0,1546.0
123021441,47961.0,1439.0
123021442,46145.0,1384.0
123021443,46667.0,1394.0
